MPI-STRIPS-WEAK: cores=171, threads=1, width=13076, height=13076, time=0.017350
MPI-STRIPS-WEAK: cores=172, threads=1, width=13114, height=13114, time=0.021014
MPI-STRIPS-WEAK: cores=173, threads=1, width=13152, height=13152, time=0.031077
MPI-STRIPS-WEAK: cores=174, threads=1, width=13190, height=13190, time=0.018583
MPI-STRIPS-WEAK: cores=175, threads=1, width=13228, height=13228, time=0.018198
MPI-STRIPS-WEAK: cores=176, threads=1, width=13266, height=13266, time=0.016324
MPI-STRIPS-WEAK: cores=177, threads=1, width=13304, height=13304, time=0.022272
MPI-STRIPS-WEAK: cores=178, threads=1, width=13341, height=13341, time=0.023662
MPI-STRIPS-WEAK: cores=179, threads=1, width=13379, height=13379, time=0.030694
MPI-STRIPS-WEAK: cores=180, threads=1, width=13416, height=13416, time=0.016367
MPI-STRIPS-WEAK: cores=181, threads=1, width=13453, height=13453, time=0.031609
MPI-STRIPS-WEAK: cores=182, threads=1, width=13490, height=13490, time=0.015896
MPI-STRIPS-WEAK: cores=183, threads=1, width=13527, height=13527, time=0.022211
MPI-STRIPS-WEAK: cores=184, threads=1, width=13564, height=13564, time=0.018226
MPI-STRIPS-WEAK: cores=185, threads=1, width=13601, height=13601, time=0.019787
MPI-STRIPS-WEAK: cores=186, threads=1, width=13638, height=13638, time=0.018641
MPI-STRIPS-WEAK: cores=187, threads=1, width=13674, height=13674, time=0.016593
MPI-STRIPS-WEAK: cores=188, threads=1, width=13711, height=13711, time=0.020988
MPI-STRIPS-WEAK: cores=189, threads=1, width=13747, height=13747, time=0.017676
MPI-STRIPS-WEAK: cores=190, threads=1, width=13784, height=13784, time=0.016900
MPI-STRIPS-WEAK: cores=191, threads=1, width=13820, height=13820, time=0.031527
MPI-STRIPS-WEAK: cores=192, threads=1, width=13856, height=13856, time=0.016322
MPI-STRIPS-WEAK: cores=193, threads=1, width=13892, height=13892, time=0.030534
MPI-STRIPS-WEAK: cores=194, threads=1, width=13928, height=13928, time=0.023892
MPI-STRIPS-WEAK: cores=195, threads=1, width=13964, height=13964, time=0.016079
MPI-STRIPS-WEAK: cores=196, threads=1, width=14000, height=14000, time=0.015989
MPI-STRIPS-WEAK: cores=197, threads=1, width=14035, height=14035, time=0.031017
MPI-STRIPS-WEAK: cores=198, threads=1, width=14071, height=14071, time=0.016477
MPI-STRIPS-WEAK: cores=199, threads=1, width=14106, height=14106, time=0.030865
MPI-STRIPS-WEAK: cores=200, threads=1, width=14142, height=14142, time=0.017101
MPI-STRIPS-WEAK: cores=201, threads=1, width=14177, height=14177, time=0.022134
MPI-STRIPS-WEAK: cores=202, threads=1, width=14212, height=14212, time=0.024275
MPI-STRIPS-WEAK: cores=203, threads=1, width=14247, height=14247, time=0.018009
MPI-STRIPS-WEAK: cores=204, threads=1, width=14282, height=14282, time=0.016274
MPI-STRIPS-WEAK: cores=205, threads=1, width=14317, height=14317, time=0.019834
MPI-STRIPS-WEAK: cores=206, threads=1, width=14352, height=14352, time=0.024032
MPI-STRIPS-WEAK: cores=207, threads=1, width=14387, height=14387, time=0.017448
MPI-STRIPS-WEAK: cores=208, threads=1, width=14422, height=14422, time=0.015959
MPI-STRIPS-WEAK: cores=209, threads=1, width=14456, height=14456, time=0.016607
MPI-STRIPS-WEAK: cores=210, threads=1, width=14491, height=14491, time=0.015939
MPI-STRIPS-WEAK: cores=211, threads=1, width=14525, height=14525, time=0.030763
MPI-STRIPS-WEAK: cores=212, threads=1, width=14560, height=14560, time=0.021513
MPI-STRIPS-WEAK: cores=213, threads=1, width=14594, height=14594, time=0.022122
MPI-STRIPS-WEAK: cores=214, threads=1, width=14628, height=14628, time=0.024118
MPI-STRIPS-WEAK: cores=215, threads=1, width=14662, height=14662, time=0.019629
MPI-STRIPS-WEAK: cores=216, threads=1, width=14696, height=14696, time=0.016317
MPI-STRIPS-WEAK: cores=217, threads=1, width=14730, height=14730, time=0.018850
MPI-STRIPS-WEAK: cores=218, threads=1, width=14764, height=14764, time=0.024207
MPI-STRIPS-WEAK: cores=219, threads=1, width=14798, height=14798, time=0.022223
MPI-STRIPS-WEAK: cores=220, threads=1, width=14832, height=14832, time=0.016256
MPI-STRIPS-WEAK: cores=221, threads=1, width=14866, height=14866, time=0.015817
MPI-STRIPS-WEAK: cores=222, threads=1, width=14899, height=14899, time=0.018305
MPI-STRIPS-WEAK: cores=223, threads=1, width=14933, height=14933, time=0.030779
MPI-STRIPS-WEAK: cores=224, threads=1, width=14966, height=14966, time=0.015783
MPI-STRIPS-WEAK: cores=225, threads=1, width=15000, height=15000, time=0.015875
MPI-STRIPS-WEAK: cores=226, threads=1, width=15033, height=15033, time=0.024116
MPI-STRIPS-WEAK: cores=227, threads=1, width=15066, height=15066, time=0.031008
MPI-STRIPS-WEAK: cores=228, threads=1, width=15099, height=15099, time=0.016266
MPI-STRIPS-WEAK: cores=229, threads=1, width=15132, height=15132, time=0.031483
MPI-STRIPS-WEAK: cores=230, threads=1, width=15165, height=15165, time=0.017215
MPI-STRIPS-WEAK: cores=231, threads=1, width=15198, height=15198, time=0.016450
MPI-STRIPS-WEAK: cores=232, threads=1, width=15231, height=15231, time=0.017353
MPI-STRIPS-WEAK: cores=233, threads=1, width=15264, height=15264, time=0.030774
MPI-STRIPS-WEAK: cores=234, threads=1, width=15297, height=15297, time=0.015825
MPI-STRIPS-WEAK: cores=235, threads=1, width=15329, height=15329, time=0.019549
MPI-STRIPS-WEAK: cores=236, threads=1, width=15362, height=15362, time=0.021286
MPI-STRIPS-WEAK: cores=237, threads=1, width=15394, height=15394, time=0.022143
MPI-STRIPS-WEAK: cores=238, threads=1, width=15427, height=15427, time=0.015888
MPI-STRIPS-WEAK: cores=239, threads=1, width=15459, height=15459, time=0.030860
--------------------------------------------------------------------------
An ORTE daemon has unexpectedly failed after launch and before
communicating back to mpirun. This could be caused by a number
of factors, including an inability to create a connection back
to mpirun due to a lack of common network interfaces and/or no
route found between them. Please check network connectivity
(including firewalls and network routing requirements).
--------------------------------------------------------------------------
MPI-STRIPS-WEAK: cores=240, threads=1, width=15491, height=15491, time=
MPI-STRIPS-WEAK: cores=241, threads=1, width=15524, height=15524, time=0.030701
MPI-STRIPS-WEAK: cores=242, threads=1, width=15556, height=15556, time=0.016471
MPI-STRIPS-WEAK: cores=243, threads=1, width=15588, height=15588, time=0.017158
MPI-STRIPS-WEAK: cores=244, threads=1, width=15620, height=15620, time=0.020918
MPI-STRIPS-WEAK: cores=245, threads=1, width=15652, height=15652, time=0.018401
MPI-STRIPS-WEAK: cores=246, threads=1, width=15684, height=15684, time=0.018472
MPI-STRIPS-WEAK: cores=247, threads=1, width=15716, height=15716, time=0.016064
MPI-STRIPS-WEAK: cores=248, threads=1, width=15748, height=15748, time=0.017415
MPI-STRIPS-WEAK: cores=249, threads=1, width=15779, height=15779, time=0.022404
MPI-STRIPS-WEAK: cores=250, threads=1, width=15811, height=15811, time=0.016796
MPI-STRIPS-WEAK: cores=251, threads=1, width=15842, height=15842, time=0.031357
MPI-STRIPS-WEAK: cores=252, threads=1, width=15874, height=15874, time=0.015733
MPI-STRIPS-WEAK: cores=253, threads=1, width=15905, height=15905, time=0.016632
MPI-STRIPS-WEAK: cores=254, threads=1, width=15937, height=15937, time=0.024076
MPI-STRIPS-WEAK: cores=255, threads=1, width=15968, height=15968, time=0.016159
MPI-STRIPS-WEAK: cores=256, threads=1, width=16000, height=16000, time=0.016426
